label_hyperonyme,relation,label_hyponyme
new england,hyponyme,vermont
atrophy,hyponyme,muscular atrophy
uridine,hyponyme,thiouridine
caspase,hyponyme,caspase initiator
curriculum,hyponyme,interdisciplinary study
stomatognathic system,hyponyme,mouth
epidemiologic method,hyponyme,geographic mapping
encephalitis viral,hyponyme,encephalitis varicella zoster
genetic phenomenon,hyponyme,structural homology protein
bronchial disease,hyponyme,tracheobronchomalacia
lamiaceae,hyponyme,isodon
lipoprotein,hyponyme,lipoprotein(a )
phytotherapy,hyponyme,eclecticism historical
bone disease,hyponyme,bone disease infectious
animal structure,hyponyme,scent gland
radioactive pollutant,hyponyme,air pollutant radioactive
animal structure,hyponyme,stomach ruminant
pyridines,hyponyme,thienopyridine
far east,hyponyme,japan
work,hyponyme,return to work
chickenpox vaccine,hyponyme,herpes zoster vaccine
chloroquinolinol,hyponyme,chlorquinaldol
plasmid,hyponyme,r factor
animal disease,hyponyme,mammary neoplasm animal
monitor physiologic,hyponyme,uterine monitoring
protease inhibitor,hyponyme,proteasome inhibitor
anhydride,hyponyme,succinic anhydride
nucleocytoplasmic transport protein,hyponyme,karyopherins
steroid hydroxylase,hyponyme,cholesterol 7-alpha - hydroxylase
electron transport complex ii,hyponyme,succinate dehydrogenase
polyethylene glycol,hyponyme,nonoxynol
molecular typing,hyponyme,multilocus sequence typing
education professional,hyponyme,education continue
insecta,hyponyme,lepisma
thiazole,hyponyme,thiabendazole
multiple birth offspring,hyponyme,twin
benzodiazepinone,hyponyme,temazepam
therapeutic,hyponyme,therapy investigational
weapon of mass destruction,hyponyme,chemical warfare agent
chlorophenol,hyponyme,dichlorophen
erythrocyte,hyponyme,erythrocyte abnormal
ultrasonography,hyponyme,echocardiography
auditory perception,hyponyme,sound localization
antigen surface,hyponyme,blood group antigen
adenosine monophosphate,hyponyme,adenosine phosphosulfate
physicians,hyponyme,physicians family
poultry,hyponyme,turkey
cyst,hyponyme,arachnoid cyst
tumor suppressor protein,hyponyme,pten phosphohydrolase
informatics,hyponyme,public health informatics
diagnostic technique ophthalmological,hyponyme,vision test
canidae,hyponyme,wolf
chemical phenomena,hyponyme,hydrogen bonding
seizure,hyponyme,alcohol withdrawal seizure
orthopedic procedure,hyponyme,viscosupplementation
rhabdoviridae,hyponyme,novirhabdovirus
hormones hormone substitute and hormone antagonist,hyponyme,hormone
ligand - gate ion channel,hyponyme,receptor purinergic p2x
referral and consultation,hyponyme,ethic consultation
polyene,hyponyme,aurodox
gene,hyponyme,gene synthetic
musculoskeletal manipulation,hyponyme,manipulation chiropractic
radionuclide imaging,hyponyme,lymphoscintigraphy
epithelial cell,hyponyme,chief cell gastric
model theoretical,hyponyme,model nursing
ergoline,hyponyme,pergolide
paraproteinemias,hyponyme,cryoglobulinemia
neisseriaceae,hyponyme,neisseria
macrocyclic compound,hyponyme,cyclodextrin
angiotensins,hyponyme,angiotensinogen
crime,hyponyme,organ traffic
haptens,hyponyme,p - azobenzenearsonate
food and beverage,hyponyme,beverage
mice,hyponyme,mice inbreed strain
cosmetic technique,hyponyme,mesotherapy
aconitate hydratase,hyponyme,iron regulatory protein 2
imide,hyponyme,imidoester
fungal structure,hyponyme,mycelium
gallium isotope,hyponyme,gallium radioisotope
biological therapy,hyponyme,cell- and tissue - base therapy
antigen differentiation t - lymphocyte,hyponyme,cd5 antigen
hospital special,hyponyme,hospital convalescent
myography,hyponyme,electromyography
decapoda ( crustacea ),hyponyme,pandalidae
pharmaceutical preparation,hyponyme,solution
recombination genetic,hyponyme,gene transfer horizontal
metabolic disease,hyponyme,metabolic syndrome
immobilized protein,hyponyme,enzyme immobilize
pregnancy ectopic,hyponyme,pregnancy cornual
mitosis,hyponyme,anaphase
bone neoplasm,hyponyme,spinal neoplasm
electrophoresis,hyponyme,electrophoresis paper
blood protein,hyponyme,immunoprotein
serine endopeptidase,hyponyme,factor xia
estradiol congeners,hyponyme,estrone
dibenzofurans,hyponyme,dibenzofurans polychlorinate
bifidobacterium,hyponyme,bifidobacterium pseudocatenulatum
asteraceae,hyponyme,milk thistle
investigative technique,hyponyme,whole body image
cestode infection,hyponyme,monieziasis
nervous system physiological phenomenon,hyponyme,chronaxy
omega - conotoxin,hyponyme,omega - conotoxin gvia
statistic as topic,hyponyme,confidence interval
mycoplasma infection,hyponyme,pleuropneumonia contagious
gtpase - activate protein,hyponyme,ras gtpase - activate protein
amino acid oxidoreductase,hyponyme,glycine decarboxylase complex
aneurysm,hyponyme,coronary aneurysm
respiratory physiological phenomenon,hyponyme,airway remodel
organization,hyponyme,international agency
central nervous system,hyponyme,meninge
fabaceae,hyponyme,sphenostylis
thioredoxin,hyponyme,chloroplast thioredoxin
morphinans,hyponyme,butorphanol
skin disease parasitic,hyponyme,lice infestation
bone development,hyponyme,calcification physiologic
connective tissue cell,hyponyme,tenocyte
gram - positive coccus,hyponyme,ruminococcus
learning,hyponyme,overlearne
neoplasms muscle tissue,hyponyme,leiomyoma
self tolerance,hyponyme,peripheral tolerance
sulfur compound,hyponyme,hydrogen sulfide
therapeutic,hyponyme,phototherapy
investigative technique,hyponyme,fetal research
glioma,hyponyme,medulloblastoma
galectins,hyponyme,galectin 1
anti - infective agent,hyponyme,antiviral agent
autoantigens,hyponyme,myelin - oligodendrocyte glycoprotein
skin abnormality,hyponyme,ichthyosis
radiation injury,hyponyme,abnormality radiation - induce
thoracic surgical procedure,hyponyme,mediastinoscopy
product packaging,hyponyme,food packaging
guanine nucleotide,hyponyme,cyclic gmp
kidney disease,hyponyme,hypertension renal
haemophilus infection,hyponyme,chancroid
growth differentiation factor,hyponyme,growth differentiation factor 15
cholelithiasis,hyponyme,gallstone
sulfonic acid,hyponyme,thiosulfonic acid
eicosanoid,hyponyme,581114-eicosatetraynoic acid
mitochondrial disease,hyponyme,pyruvate carboxylase deficiency disease
myogenic regulatory factor,hyponyme,myod protein
cost and cost analysis,hyponyme,health care cost
alphavirus infection,hyponyme,chikungunya fever
complex mixture,hyponyme,biofuels
pyrazolones,hyponyme,phenylbutazone
immunologic deficiency syndrome,hyponyme,common variable immunodeficiency
vascular disease,hyponyme,telangiectasis
pathologic process,hyponyme,delay graft function
ovarian disease,hyponyme,ovarian hyperstimulation syndrome
beverage,hyponyme,tea
norpregnenes,hyponyme,norethindrone
hemostatic disorder,hyponyme,waldenstrom macroglobulinemia
metabolism inborn error,hyponyme,cytochrome - c oxidase deficiency
transcription factor,hyponyme,gata transcription factor
adenoma,hyponyme,adenoma islet cell
stem cell,hyponyme,neoplastic stem cell
facility design and construction,hyponyme,location directory and sign
intestinal disease,hyponyme,inflammatory bowel disease
extracellular fluid,hyponyme,extravascular lung water
transcription factor,hyponyme,host cell factor c1
wound and injury,hyponyme,trauma nervous system
anemia neonatal,hyponyme,fetofetal transfusion
carbohydrate,hyponyme,sugars
face,hyponyme,nasolabial fold
eye protein,hyponyme,recoverin
adenine nucleotide,hyponyme,clofarabine
labor onset,hyponyme,labor stage second
middle east,hyponyme,afghanistan
smad protein,hyponyme,smad protein inhibitory
alkane,hyponyme,pentane
culture technique,hyponyme,cell engineering
catalogs as topic,hyponyme,catalogs union as topic
cellulose,hyponyme,deae - cellulose
papio,hyponyme,papio hamadryas
anion,hyponyme,iodide
publication format,hyponyme,guidebook
sulfur oxide,hyponyme,sulfur dioxide
clostridiale,hyponyme,clostridiaceae
joint,hyponyme,atlanto - axial joint
ribonucleoprotein small nuclear,hyponyme,ribonucleoprotein u5 small nuclear
guanine nucleotide,hyponyme,rna caps
eel,hyponyme,anguilla
steroid synthesis inhibitor,hyponyme,14-alpha demethylase inhibitor
great lakes region,hyponyme,pennsylvania
quinolone,hyponyme,4-quinolones
pharmacological phenomena,hyponyme,dose - response relationship drug
porphyrin,hyponyme,uroporphyrins
maleimide,hyponyme,ethylmaleimide
chromosomes human 21 - 22 and y,hyponyme,chromosomes human y
climatic process,hyponyme,air movement
adenosine triphosphatase,hyponyme,chaperonin
immunoglobulin isotype,hyponyme,immunoglobulin d
pregnancy complications cardiovascular,hyponyme,embolism amniotic fluid
coliphage,hyponyme,bacteriophage phi x 174
enzyme and coenzyme,hyponyme,enzyme
mice inbreed strain,hyponyme,mice inbreed nzb
laryngeal disease,hyponyme,laryngostenosis
abnormality multiple,hyponyme,mobius syndrome
chemotactic factor,hyponyme,chemokine
cholestadienol,hyponyme,fusidic acid
metal alkali,hyponyme,lithium
heart,hyponyme,myocardium
adrenergic beta - agonist,hyponyme,adrenergic beta-1 receptor agonist
heart valve disease,hyponyme,pulmonary valve stenosis
prison,hyponyme,concentration camp
gram - positive coccus,hyponyme,aerococcus
heart block,hyponyme,interatrial block
arrestins,hyponyme,beta - arrestin
person,hyponyme,transient and migrant
facility design and construction,hyponyme,interior design and furnishing
hypothalamus,hyponyme,hypothalamus anterior
reproductive physiological phenomenon,hyponyme,climacteric
sulfhydryl compound,hyponyme,pantetheine
diabetes mellitus type 2,hyponyme,diabete mellitus lipoatrophic
sex chromosome disorder of sex development,hyponyme,gonadal dysgenesis mix
animal structure,hyponyme,fat body
basal ganglia diseases,hyponyme,basal ganglia cerebrovascular disease
violence,hyponyme,ethnic violence
rhabdoviridae infection,hyponyme,vesicular stomatitis
asteraceae,hyponyme,taraxacum
ethic,hyponyme,personhood
immunosuppressive agent,hyponyme,complement inactivating agent
erythema,hyponyme,sweet syndrome
colobinae,hyponyme,colobus
granulation tissue,hyponyme,cicatrix
bacteriophage,hyponyme,bacillus phage
animal structure,hyponyme,beak
pregnadiene,hyponyme,chlormadinone acetate
fabaceae,hyponyme,genista
foot,hyponyme,heel
pyrrolidinone,hyponyme,rolipram
technology,hyponyme,medical laboratory science
hypertension,hyponyme,masked hypertension
neuron,hyponyme,nerve fiber myelinate
culture technique,hyponyme,organ culture technique
mouth abnormality,hyponyme,macrostomia
blood vessel,hyponyme,vasa nervorum
receptor cytoplasmic and nuclear,hyponyme,receptor thyroid hormone
tetrahydronaphthalene,hyponyme,mibefradil
nad(p)h dehydrogenase ( quinone ),hyponyme,zeta - crystallin
technology,hyponyme,biomedical technology
west indies,hyponyme,martinique
visual perception,hyponyme,optic flow
therapeutic use,hyponyme,stimulant historical
autoantibody,hyponyme,antibody antinuclear
physarum,hyponyme,physarum polycephalum
molecular probe technique,hyponyme,biotinylation
heredodegenerative disorder nervous system,hyponyme,gerstmann - straussler - scheinker disease
mitosporic fungi,hyponyme,candida
varicellovirus,hyponyme,herpesvirus 5 bovine
tachycardia,hyponyme,tachycardia supraventricular
sulfhydryl compound,hyponyme,thiocholine
hemorrhage,hyponyme,hemothorax
chromomycin,hyponyme,chromomycin a3
anaplasma,hyponyme,anaplasma phagocytophilum
autoantibody,hyponyme,anti - citrullinated protein antibody
methanosarcina,hyponyme,methanosarcina barkeri
calcium metabolism disorder,hyponyme,decalcification pathologic
tran - activator,hyponyme,gene product tax
hepatitis a virus,hyponyme,hepatitis a virus human
receptor natural killer cell,hyponyme,receptor kir
blood coagulation factor,hyponyme,platelet activating factor
glaucoma open - angle,hyponyme,hydrophthalmos
in situ hybridization fluorescence,hyponyme,chromosome painting
diagnostic technique cardiovascular,hyponyme,heart function test
sugar acid,hyponyme,glucaric acid
potyvirus,hyponyme,plum pox virus
nucleobase nucleoside nucleotide and nucleic acid transport protein,hyponyme,nucleoside transport protein
dna damage,hyponyme,dna degradation necrotic
acids noncarboxylic,hyponyme,sulfur acid
mycelium,hyponyme,hyphae
skin disease vascular,hyponyme,livedo reticularis
myocardial contraction,hyponyme,diastole
sport,hyponyme,basketball
linoleic acids,hyponyme,linoleic acid
lanthanoid series element,hyponyme,erbium
rna virus infection,hyponyme,arenaviridae infection
gram - negative bacteria,hyponyme,anaplasmataceae
ear disease,hyponyme,otomycosis
sesquiterpene,hyponyme,sesquiterpenes germacrane
angiography,hyponyme,coronary angiography
history modern 1601-,hyponyme,history 18th century
mechanical phenomena,hyponyme,kinetics
receptor purinergic p2x,hyponyme,receptor purinergic p2x4
nervous system neoplasm,hyponyme,paraneoplastic syndrome nervous system
atp - bind cassette transporter,hyponyme,sulfonylurea receptor
gout suppressant,hyponyme,uricosuric agent
iron isotope,hyponyme,iron radioisotope
weapon,hyponyme,weapon of mass destruction
herpesviridae infection,hyponyme,roseolovirus infection
stain and labeling,hyponyme,silver stain
cell physiological phenomenon,hyponyme,cellular microenvironment
sign and symptom,hyponyme,heart murmur
multiple endocrine neoplasia,hyponyme,multiple endocrine neoplasia type 2b
west indies,hyponyme,trinidad and tobago
heart defect congenital,hyponyme,cor triatriatum
mass screening,hyponyme,vision screening
scandinavian and nordic country,hyponyme,iceland
ribosome subunit large,hyponyme,ribosome subunit large bacterial
phosphoinositide phospholipase c,hyponyme,phospholipase c delta
biomedical and dental material,hyponyme,membranes artificial
actinomycetale,hyponyme,tropheryma
retinitis,hyponyme,cytomegalovirus retinitis
musculoskeletal physiological phenomenon,hyponyme,physical fitness
metal heavy,hyponyme,iridium
immunoelectrophoresis,hyponyme,immunoelectrophoresis two - dimensional
pyran,hyponyme,pyrone
skin neoplasm,hyponyme,sebaceous gland neoplasm
lamiales,hyponyme,verbenaceae
adenine nucleotide,hyponyme,nadp
transaminase,hyponyme,4-aminobutyrate transaminase
rhodospirillaceae,hyponyme,magnetospirillum
phosphorus - oxygen lyase,hyponyme,guanylate cyclase
rhodophyta,hyponyme,porphyridium
protective devices,hyponyme,personal protective equipment
melanocyte - stimulate hormone,hyponyme,beta - msh
propylene glycol,hyponyme,pentaerythritol tetranitrate
magnoliopsida,hyponyme,campanulaceae
periodontium,hyponyme,dental cementum
phenoxyacetate,hyponyme,24-dichlorophenoxyacetic acid
glucoside,hyponyme,amygdalin
leiomyoma,hyponyme,leiomyomatosis
hmga protein,hyponyme,hmga2 protein
headache disorder secondary,hyponyme,post - dural puncture headache
intercellular signal peptide and protein,hyponyme,transform growth factor
caliciviridae infection,hyponyme,vesicular exanthema of swine
social networking,hyponyme,online social networking
thioglycosides,hyponyme,dithiothreitol
phosphofructokinase-1,hyponyme,phosphofructokinase-1 type c
information system,hyponyme,online system
autonomic nervous system disease,hyponyme,primary dysautonomias
uveal disease,hyponyme,iris disease
molecular structure,hyponyme,base sequence
clostridium botulinum,hyponyme,clostridium botulinum type g
acetanilide,hyponyme,trimecaine
gammaretrovirus,hyponyme,xenotropic murine leukemia virus - relate virus
